Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
6040,200,cooling,-131.659,469.319,337.66,4531.83,24.0,24.1347,0.0,474.27,34.59006539762264,12.689938054578938,3.5404230403482333,0.0,406.87697750000007,11.197949999999999,13.0,2.498125,0.0,2.75482,1.0,1.45551,0.0,337.66,138.2581269331367,3.0670139134445553,3.1919429116144906,0.0,40.06702628947145
6040,250,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,250,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,250,laser,186.31699999999995,332.718,519.035,2666.98,24.0,25.1778,0.0,519.035,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,423.39367999999996,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.835,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,55.05151450747306
6040,250,hold,5.343999999999937,517.148,522.492,4736.04,25.0,23.0891,0.0,533.762,34.590062904737984,12.434957307885485,3.550186689268375,0.0,523.6137887499999,11.4896,12.0,2.57944,0.0,2.69926,1.0,1.45716,0.0,513.084,136.36466758288327,3.137693466067233,2.9620435257336997,0.0,3.157565806741533
6040,250,cooling,-182.80600000000004,520.677,337.871,4541.93,24.0,24.4659,0.0,523.634,34.59006255566717,12.329482672024108,3.596567533902561,0.0,433.35539750000004,11.661950000000001,12.0,2.576145,0.0,2.70461,1.0,1.4626,0.0,337.113,135.92972340880715,3.0767108306784903,3.1115953892612023,0.0,54.599249177267055
6040,300,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,300,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,300,laser,235.69400000000002,332.718,568.412,2666.98,24.0,25.1778,0.0,568.412,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,447.0036875,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.84,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,69.73828024427054
6040,300,hold,9.504999999999995,567.658,577.163,3927.88,24.0,23.3271,0.0,587.816,34.59006353926,12.218985434455048,3.584525612757409,0.0,573.51166625,11.79255,12.0,2.63403,0.0,2.76962,1.0,1.45148,0.0,560.825,127.99211644206788,3.0794031335186727,2.8996041162028465,0.0,3.8085552570881536
6040,300,cooling,-238.401,579.548,341.147,5672.05,25.0,23.2436,0.0,579.548,34.59006130336514,12.257994307718064,3.5652388381048055,0.0,460.19473000000005,11.8062,12.0,2.62304,0.0,2.75093,1.0,1.47072,0.0,340.978,134.40518533634963,3.106816949323241,2.9496402440635596,0.0,69.36136799615363
6040,350,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,350,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,350,laser,282.449,332.718,615.167,2666.98,24.0,25.1778,0.0,615.167,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,470.7603725,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.844,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,84.91006791226766
6040,350,hold,15.528999999999996,614.939,630.468,4670.3,23.0,22.3709,0.0,632.702,34.59006806964675,12.175623639712038,3.6053946785534907,0.0,623.08643375,11.90165,12.0,2.663945,0.0,2.71293,1.0,1.45649,0.0,611.553,126.02212355962652,3.1032671801858434,2.9071992584625654,0.0,3.6225359603585807
6040,350,cooling,-284.391,630.509,346.118,2368.86,26.0,21.7182,0.0,631.493,34.590064623304876,12.08253808806295,3.65321685334003,0.0,486.99393,12.0702,12.0,2.71075,0.0,2.69795,1.0,1.45954,0.0,342.563,111.02064698305314,3.1087262569379006,2.852022035567179,0.0,83.66556153170873
7030,100,equilibrium,70.612,230.104,300.716,3700.47,25.0,29.1805,0.0,305.527,33.350667074698414,13.265542839467987,3.4096942019795855,0.0,289.33693999999997,10.2583,13.0,2.3394000000000004,0.0,2.20527,3.0,1.41661,0.0,230.104,135.28221367111877,3.2764291073368015,3.444659576229947,0.0,20.391191594401686
