Temperature,Stage,Position,CoordAvg,VolAvg,CavAvg,DispAvg,Composition
250,bed,End,12.6809464893288,33.35066469300959,3.488082394834519,3.303597585222704,7030
250,laser,Start,12.6809464893288,33.35066469300959,3.488082394834519,0.0,7030
250,laser,Middle,12.58908134859264,33.35066775595423,3.474587970151562,2.408182004531395,7030
250,laser,End,12.35617073925147,33.35066918419425,3.494950971234148,3.428002375193319,7030
250,hold,Start,12.35617073925147,33.35066918419425,3.494950971234148,0.0,7030
250,hold,Middle,12.38184348901949,33.35066664011754,3.513855228889577,3.424236713810702,7030
250,hold,End,12.24822146613053,33.35066560779462,3.48827425920198,4.668054232060006,7030
250,cooling,Start,12.24822146613053,33.35066560779462,3.488274258428704,0.0,7030
250,cooling,Middle,12.4672131147541,33.35066469300958,3.471791572069286,2.486565739065883,7030
250,cooling,End,12.78935972780699,33.35066701283638,3.42450389034952,2.909649332121868,7030
300,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
300,equilibrium,Middle,12.42251778533869,33.35066662465202,3.525300653417878,2.675238033854005,7030
300,equilibrium,End,12.41679554593257,33.3506677567275,3.550253004948964,3.976363735926384,7030
300,bed,Start,12.41679554593257,33.35066778765852,3.550253004948964,0.0,7030
300,bed,Middle,12.58382307454377,33.35066545081967,3.504278898082276,2.442969537813177,7030
300,bed,End,12.6809464893288,33.35066469300959,3.488082394834519,3.303597585222704,7030
300,laser,Start,12.6809464893288,33.35066469300959,3.488082394834519,0.0,7030
300,laser,Middle,12.5069594803588,33.35066610191772,3.511404730126817,2.504083983111661,7030
300,laser,End,12.15341787813177,33.35066507732756,3.512045588462728,3.673372513153418,7030
300,hold,Start,12.15341787813177,33.35066507732756,3.512045588462728,0.0,7030
300,hold,Middle,12.05691308382307,33.35066630142283,3.574488541602227,3.93997781851995,7030
300,hold,End,12.13269409217445,33.35066653108568,3.556858748840087,5.484446556835756,7030
300,cooling,Start,12.13269409217445,33.35066634317971,3.556858737240952,0.0,7030
300,cooling,Middle,12.28595731518713,33.35066982601299,3.527142254871636,2.658313349744819,7030
300,cooling,End,12.75177853386947,33.35066709016393,3.447418186668729,3.271266918651407,7030
350,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
350,equilibrium,Middle,12.72842561088772,33.35066454840705,3.470318865604701,1.634568746141355,7030
350,equilibrium,End,12.42375502629137,33.35066686978038,3.526848435663471,2.685265790450047,7030
350,bed,Start,12.42375502629137,33.35066686978038,3.526848435663471,0.0,7030
350,bed,Middle,12.30992885864522,33.35066720074234,3.522733968450355,2.002305655822765,7030
350,bed,End,12.36343952984844,33.35066822069285,3.552208970770183,2.937317356712032,7030
350,laser,Start,12.36343952984844,33.35066830575317,3.552208969223631,0.0,7030
350,laser,Middle,12.3816888339004,33.35066722858026,3.534107780699041,2.257227794618001,7030
350,laser,End,12.03557067738942,33.3506663656047,3.59777808459635,3.658886588787504,7030
350,hold,Start,12.03557067738942,33.35066628905042,3.59777810392824,0.0,7030
350,hold,Middle,11.6580575317043,33.35066706309929,3.678977391741416,4.388317901562017,7030
350,hold,End,11.6937828642128,33.35066677930714,3.695628429477265,6.715489105629446,7030
350,cooling,Start,11.6937828642128,33.35066680327868,3.695628457315188,0.0,7030
350,cooling,Middle,11.69161769254562,33.35066597664707,3.65848798639035,2.461588512310548,7030
350,cooling,End,12.10841323847819,33.35066602922982,3.637917565728426,3.277370184580885,7030
